timestamp,type,event,value
2025-11-04T16:08:30.842526,sound,play,ocean
2025-11-04T16:12:58.544958,sound,play,ocean
2025-11-04T16:13:13.323655,sound,stop,ocean
2025-11-04T16:13:13.927253,sound,play,ocean
2025-11-04T16:13:14.600562,sound,stop,ocean
2025-11-04T16:13:16.489059,timer,start,25
2025-11-04T16:13:28.036024,sound,play,ocean
2025-11-04T16:13:28.881337,sound,stop,ocean
2025-11-04T16:13:30.919978,ui,theme_toggle,
2025-11-04T16:13:32.484834,ui,theme_toggle,
2025-11-04T16:13:33.933266,ui,theme_toggle,
2025-11-04T16:20:40.978181,ui,theme_toggle,
2025-11-04T16:20:41.522072,ui,theme_toggle,
2025-11-04T16:20:41.850929,ui,theme_toggle,
2025-11-04T16:20:42.188085,ui,theme_toggle,
2025-11-04T16:20:42.516158,ui,theme_toggle,
2025-11-04T16:20:42.830422,ui,theme_toggle,
2025-11-04T16:20:43.181575,ui,theme_toggle,
2025-11-04T16:20:43.457137,ui,theme_toggle,
2025-11-04T16:20:49.593892,timer,start,25
2025-11-04T16:20:50.383983,timer,start,25
2025-11-04T16:20:52.388752,timer,start,25
2025-11-04T16:23:56.001228,ui,theme_toggle,
2025-11-04T16:23:56.540703,ui,theme_toggle,
2025-11-04T16:23:56.879211,ui,theme_toggle,
2025-11-04T16:23:57.423741,ui,theme_toggle,
2025-11-04T16:23:57.867814,ui,theme_toggle,
2025-11-04T16:23:58.218560,ui,theme_toggle,
2025-11-04T16:24:57.062711,ui,theme_toggle,
2025-11-04T16:25:00.363615,ui,theme_toggle,
2025-11-04T16:25:01.407358,ui,theme_toggle,
2025-11-04T16:25:04.801239,ui,theme_toggle,
2025-11-04T16:25:06.398684,ui,theme_toggle,
2025-11-04T16:25:07.611227,ui,theme_toggle,
2025-11-04T16:25:08.471164,ui,theme_toggle,
2025-11-04T16:25:09.131203,ui,theme_toggle,
2025-11-04T16:25:09.601535,ui,theme_toggle,
2025-11-04T16:25:10.010105,ui,theme_toggle,
2025-11-04T16:26:16.856855,reminder,1,1
2025-11-04T16:26:16.857267,reminder,1,1
2025-11-04T16:27:03.128077,timer,start,25
2025-11-04T16:27:16.861656,reminder,1,1
2025-11-04T16:27:16.863806,reminder,1,1
2025-11-04T16:27:17.859427,ui,theme_toggle,
2025-11-04T16:27:18.514123,ui,theme_toggle,
2025-11-04T16:27:21.047824,ui,theme_toggle,
2025-11-04T16:27:22.327791,ui,theme_toggle,
2025-11-04T16:27:49.014958,ui,theme_toggle,
2025-11-04T16:27:50.508804,ui,theme_toggle,
2025-11-04T16:27:55.424884,ui,theme_toggle,
2025-11-04T16:30:59.173869,ui,test_notification,
2025-11-04T16:31:43.922257,ui,test_notification,
2025-11-04T16:31:44.879026,ui,test_notification,
2025-11-04T16:31:45.047151,ui,test_notification,
2025-11-04T16:31:45.533533,ui,test_notification,
2025-11-04T16:31:45.883255,ui,test_notification,
2025-11-04T16:34:48.663297,ui,test_notification,
